you,ты
bend,сгибать
review,обзор
connect,соединять
separated,разделенный
elder,старший
beard,борода
admiral,адмирал
diana,Диана
salary,зарплата
areas,области
disturb,беспокоить
pro,про
maintain,поддерживать
solved,решено
wealth,богатство
bitches,суки
possession,владение
sang,пел
gimme,дай мне
plates,тарелки
shoulders,плечи
burnt,сожженный
recorded,записано
upper,верхний
counts,имеет значение
tale,сказка
profit,выгода
colleague,коллега
warehouse,склад
hostage,заложник
shore,берег
porn,порно
miami,Майами
fifteen,пятнадцать
visitors,посетители
bo,бо
net,сеть
insult,оскорблять
owen,Оуэн
cities,города
causing,вызывая
lemon,лимон
heal,лечить
banging,стук
honeymoon,Медовый месяц
appeal,обращаться
marshall,Маршалл
critical,критический
creating,создание
scotland,Шотландия
crane,кран
enormous,громадный
testimony,показания
praise,хвалить
fights,драки
indians,индейцы
commission,комиссия
growls,рычит
nicole,Николь
sins,грехи
fraud,мошенничество
branch,ветвь
happily,счастливо
bout,бой
covering,покрытие
occurred,произошел
beans,бобы
raw,сырой
muscle,мышца
pages,страницы
tense,напряженный
relationships,отношения
management,управление
assignment,назначение
blonde,блондинка
catching,ловля
exposed,незащищенный
canada,Канада
dont,не
han,Хан
von,фон
comedy,комедия
marco,Марко
stroke,гладить
whistling,свист
buildings,здания
shaking,тряска
p.m.,вечера.
facility,средство
appropriate,соответствующий
remarkable,замечательный
transferred,переведен
drawn,нарисованный
tits,сиськи
clicking,щелчок
symbol,символ
motor,мотор
employees,сотрудники
ambassador,посол
mothers,матери
pile,куча
feeding,кормление
soda,сода
checks,чеки
bears,медведи
cookies,печенье
slut,шлюха
awfully,ужасно
stepped,шагнул
toys,игрушки
levels,уровни
differently,иначе
magnificent,великолепный
steak,стейк
tube,трубка
leaders,лидеры
superior,начальство
herr,герр
pan,кастрюля
expression,выражение
currently,в настоящее время
throne,трон
deadly,смертоносный
bee,пчела
tooth,зуб
depressed,депрессивный
potatoes,картофель
wicked,злой
resources,Ресурсы
native,родной
centuries,века
karl,Карл
poetry,поэзия
multiple,несколько
cable,кабель
shortly,вскоре
buzz,гул
socks,носки
fingerprints,отпечатки пальцев
goddess,богиня
chin,подбородок
anxious,тревожный
september,сентябрь
colors,цвета
basketball,баскетбол
promises,обещания
explained,объяснил
appearance,появление
musical,мюзикл
sends,отправляет
slide,горка
aii,айи
shawn,Шон
ultimate,окончательный
pork,свинина
communication,коммуникация
payment,оплата
structure,состав
paperwork,оформление документации
obsessed,одержимый
lazy,ленивый
russians,русские
actors,актеры
squeeze,сжимать
magical,волшебный
colleagues,коллеги
admire,восхищаться
madness,безумие
roads,дороги
entry,вход
injury,рана
burden,груз
racing,гонки
manner,манера
freezing,замораживание
bits,биты
norman,Норман
mount,устанавливать
battery,батарея
dessert,десерт
pound,фунт
visited,посетил
motel,мотель
rumbling,грохочущий
cinema,кино
fond,любящий
halfway,наполовину
rifle,винтовка
reception,прием
statue,статуя
fridge,холодильник
brick,кирпич
abandon,покидать
lap,колени
natalie,Натали
wars,войны
recommend,рекомендовать
brush,щетка
nelson,Нельсон
pill,таблетка
concept,концепция
w,ш
delay,задерживать
quarters,помещения
korea,Корея
janet,Джанет
rub,натирать
mall,торговый центр
soil,земля
complaint,жалоба
sail,плыть
baker,пекарь
coughs,кашель
bucket,ведро
description,описание
badge,значок
measure,мера
hip,бедро
function,функция
indistinctly,нечетко
harris,Харрис
foundation,фундамент
labor,труд
willie,Вилли
waiter,официант
homeless,бездомный
proved,доказал
unfortunate,неудачный
log,бревно
meetings,встречи
giggles,хихикает
combat,бой
poem,стих
polish,полировать
handed,вручил
mia,миа
weed,сорняк
raymond,Рэймонд
tons,тонны
satellite,спутник
jersey,Джерси
eagle,орел
privacy,конфиденциальность
chapter,глава
treating,лечение
wisdom,мудрость
flip,подбросить
entering,входя
barn,сарай
farmer,фермер
clan,клан
budget,бюджет
pub,паб
temporary,временный
effective,эффективный
sonny,сынок
wendy,Венди
juan,Хуан
lamb,ягненок
plot,сюжет
riley,Райли
proposal,предложение
sticks,палочки
searched,искал
blessing,благословение
rage,ярость
bothered,беспокоил
sydney,Сидней
basis,основа
manners,манеры
recover,восстанавливаться
twist,крутить
neil,Нил
leak,утечка
item,элемент
catholic,католик
sighing,вздыхая
retired,ушедший на пенсию
kings,короли
inner,внутренний
cents,центы
affect,оказывать воздействие
forbidden,запрещенный
patch,пластырь
drops,капли
necessarily,обязательно
provided,предоставил
meters,метры
booked,забронировано
returns,возвращает
gloria,Глория
fires,пожары
humor,юмор
torn,разорванный
e-mail,электронная почта
rocky,скалистый
introduced,представил
creative,творческий
betray,предавать
soviet,советский
various,различный
added,добавлен
discovery,открытие
cowboy,ковбой
suspected,подозреваемый
suggested,предложенный
delighted,получивший удовольствие
sticking,прилипание
dive,нырять
shane,Шейн
radar,радар
prosecutor,прокурор
amber,янтарь
vast,огромный
quinn,Куинн
owned,принадлежащий
cookie,печенье
finest,лучший
felix,Феликс
pump,насос
valentine,Валентина
counter,прилавок
sorts,сорта
coin,монета
warren,Уоррен
slaves,рабы
marine,морской
illness,болезнь
sack,мешок
bid,делать ставку
require,требовать
moscow,Москва
largest,крупнейший
washing,мойка
achieve,достигать
causes,причины
k,к
mo,мес.
dope,наркотик
nest,гнездо
palm,ладонь
logan,Логан
constant,постоянный
b.,б.
boo,бу
medication,медикамент
gravity,сила тяжести
booze,выпивка
noah,Ной
evan,Эван
abroad,за границей
christine,Кристин
rising,рост
analysis,анализ
cuts,порезы
eats,ест
employee,сотрудник
vodka,водка
damaged,поврежден
solar,солнечный
height,высота
pops,хлопает
yards,ярды
terrified,испуганный
suitcase,чемодан
chemical,химический
preparing,подготовка
advanced,передовой
fund,фонд
wears,носит
chirping,щебетание
web,сеть
phase,фаза
prom,выпускной вечер
suggesting,предлагая
fleet,флот
lame,хромой
irish,ирландский
editor,редактор
october,октябрь
assumed,предполагалось
whip,хлыст
mel,мел
region,область
amongst,среди
temper,характер
discussion,обсуждение
engines,двигатели
operate,действовать
sunshine,солнечный свет
acted,действовал
undercover,под прикрытием
horror,ужастик
tested,проверено
smash,разгромить
contrary,вопреки
roses,розы
poker,покер
wrapped,завернутый
korean,Корейский
graham,Грэм
mi,ми
fu,фу
ivan,Иван
focused,сосредоточенный
liam,Лиам
tragic,трагический
carla,Карла
demons,демоны
rounds,раунды
entertainment,развлечение
gathered,собрались
uhh,ухх
yells,кричит
lincoln,Линкольн
crossing,пересечение
blanket,одеяло
nut,орех
travis,Трэвис
pockets,карманы
limited,ограниченное
paintings,картины
sober,трезвый
caesar,Цезарь
sis,сестренка
intended,намеревался
niece,племянница
computers,компьютеры
tennis,большой теннис
needle,иголка
chicks,цыплята
traditional,традиционный
delicate,нежный
independent,независимый
leslie,Лесли
lauren,Лорен
grandson,внук
repair,ремонт
a.,а.
brandon,Брэндон
executive,исполнительный
colin,Колин
recognized,признанный
holmes,Холмс
regarding,касательно
weakness,слабость
aliens,инопланетяне
gunshots,выстрелы
european,европейский
method,метод
tool,инструмент
demands,требования
permit,разрешать
towel,полотенце
daisy,маргаритка
nowadays,настоящее время
spider,паук
northern,северный
rangers,рейнджеры
zoo,зоопарк
praying,молиться
antonio,Антонио
passengers,пассажиры
con,против
australia,Австралия
technique,техника
cellphone,сотовый телефон
gently,нежно
operations,операции
planes,самолеты
bunny,кролик
gunfire,стрельба
shining,блестящий
backwards,назад
skill,навык
uh-,Эм-м-м-
baron,барон
kidnapping,похищение
iike,мне нравится
marshal,маршал
petty,мелкий
sealed,запечатанный
massage,массаж
raising,повышение
menu,меню
diary,дневник
fucker,Подонок
wagon,фургон
audition,прослушивание
mitch,Митч
mexican,мексиканец
casino,казино
bacon,бекон
diego,Диего
dutch,голландский
promotion,повышение
click,щелкнуть
forgiveness,прощение
burst,лопаться
permanent,постоянный
interfere,вмешиваться
chanting,пение
dammit,черт возьми
spencer,Спенсер
recovered,выздоровел
registered,зарегистрированный
sunny,Солнечный
packing,упаковка
scenes,сцены
superman,супермен
questioning,допрос
unfair,несправедливый
admitted,допущенный
ancestors,предки
polite,вежливый
completed,завершенный
swallow,глотать
conduct,руководить
prayers,молитвы
sheet,лист
fried,жареный
avenue,проспект
poisoned,отравленный
reverse,обеспечить регресс
newspapers,газеты
ford,Форд
complaining,жаловаться
senses,чувства
investment,инвестиции
absurd,абсурдный
potato,картофель
understands,понимает
grows,растет
inspired,вдохновленный
ruby,Рубин
celebrating,празднование
tag,ярлык
ram,баран
requires,требует
bonnie,Бонни
bugs,ошибки
leonard,Леонард
elliot,Эллиот
hooked,на крючке
jill,Джилл
ranch,ранчо
safer,безопаснее
worn,изношенный
crashing,сбой
lands,земли
heather,вереск
ash,пепел
leather,кожа
grounds,основания
assuming,предполагая
nails,гвозди
dana,Дана
conspiracy,заговор
thanksgiving,благодарение
pierre,Пьер
guardian,опекун
rumors,слухи
yen,иена
megan,Меган
ashes,пепел
terror,террор
misunderstanding,недоразумение
tire,шина
boats,лодки
parade,парад
halt,остановка
immunity,иммунитет
adults,Взрослые
steam,пар
kang,Кан
closely,внимательно
pearl,жемчуг
soccer,футбольный
adrian,Адриан
priority,приоритет
shouts,кричит
donald,Дональд
happier,счастливее
khan,хан
struggling,столкнувшийся с трудностями
root,корень
larger,больше
november,ноябрь
boot,ботинок
conflict,конфликт
laughed,рассмеялся
debbie,Дебби
cherry,вишня
honking,сигналит
concerns,обеспокоенность
celebration,праздник
sore,больной
unconscious,бессознательный
cattle,крупный рогатый скот
breasts,грудь
fairly,весьма
fee,платеж
recognise,распознавать
wade,пробираться вброд
radiation,радиация
holidays,каникулы
raining,дождь
forgetting,забывчивость
lungs,легкие
register,регистр
shadows,тени
specifically,конкретно
sarge,сержант
ideal,идеальный
turtle,черепаха
spoil,портиться
deserved,заслуженный
ronnie,Ронни
gina,Джина
candidate,кандидат
lance,копье
types,типы
bloke,парень
explode,взорваться
immediate,немедленный
belonged,принадлежал
identified,идентифицированный
di,ди
hunger,голод
closest,ближайший
combination,комбинация
nanny,няня
seth,Сет
gabriel,Габриэль
develop,развивать
detectives,детективы
severe,серьезный
en,ru
organized,организованный
franklin,Франклин
gut,кишка
splendid,великолепный
dismissed,уволен
pm,вечера
yang,Ян
halloween,Хэллоуин
ellie,Элли
vulnerable,уязвимый
continued,продолжение
vital,жизненно важный
comrades,товарищи
bureau,бюро
drawer,ящик
harper,арфист
retreat,отступление
carson,карсон
benny,Бенни
pillow,подушка
troy,Троя
ace,туз
cart,тележка
nap,вздремнуть
chan,тян
ham,ветчина
announce,объявить
borrowed,заимствованный
parked,припаркован
galaxy,галактика
voted,проголосовал
muffled,приглушенный
sebastian,Себастьян
mmm-hmm,ммм-хм
jewelry,Ювелирные изделия
kisses,поцелуи
luggage,багаж
groom,жених
oops,упс
lighter,более легкий
masters,мастера
alliance,альянс
buddies,приятели
clothing,одежда
denied,отклонен
drown,тонуть
alike,одинаково
excellency,превосходительство
relative,родственник
photographs,фотографии
burger,бургер
dough,тесто
alicia,Алисия
wreck,крушение
approve,утвердить
produced,произведено
christina,Кристина
physically,физически
stations,станции
eli,Эли
samantha,Саманта
spiritual,духовный
sire,сир
roaring,ревущий
stab,нанести удар
inch,дюйм
servants,слуги
limits,пределы
unexpected,непредвиденный
arrival,прибытие
whimpering,хныканье
basket,корзина
sheets,листы
scandal,скандал
stink,вонять
homer,Гомер
tara,Тара
christopher,Кристофер
toes,пальцы ног
shield,щит
shooter,стрелок
instant,мгновенный
objects,объекты
rehearsal,репетиция
disturbing,тревожный
directed,направленный
scan,сканировать
electronic,электронный
republic,республика
overnight,с ночевкой
counsel,адвокат
sirens,сирены
dorothy,Дороти
bait,приманка
dignity,достоинство
explains,объясняет
lean,наклонять
heroin,героин
tracy,Трейси
rex,рекс
barney,Барни
gossip,слух
humble,скромный
economy,экономика
worlds,миры
impress,произвести впечатление
clara,Клара
tissue,салфетка
threaten,угрожать
et,и др.
bump,ударяться
supreme,верховный
bingo,бинго
mitchell,Митчелл
excitement,возбуждение
mankind,человечество
document,документ
broad,широкий
vietnam,Вьетнам
vessel,судно
lit,горит
dale,дол
killers,убийцы
connor,Коннор
mario,Марио
foul,грязный
stare,глазеть
deaths,летальные исходы
hut,хижина
elements,элементы
coma,кома
laying,укладка
coffin,гроб
paula,Паула
cocaine,кокаин
puppy,щенок
louder,громче
handled,обработанный
announcement,объявление
oath,клятва
mob,толпа
cotton,хлопок
deposit,депозит
taxes,налоги
injuries,травмы
jen,Джен
autopsy,вскрытие
advise,советовать
gig,концерт
lecture,лекция
posted,опубликовано
skinny,тощий
lo,вот
include,включать
revealed,раскрытый
infected,зараженный
relieved,с облегчением
assistance,помощь
solo,соло
determine,определять
terrorists,террористы
elsewhere,в другом месте
lamp,лампа
practical,практичный
marked,отмеченный
adorable,восхитительный
rubber,резина
purple,фиолетовый
operating,действующий
suite,люкс
apologies,извинения
personnel,персонал
beam,луч
poet,поэт
samples,образцы
arrow,стрелка
counselor,консультант
carpet,ковер
allen,Аллен
audrey,Одри
spotted,пятнистый
floating,плавающий
corrected,исправленный
located,располагается
journalist,журналист
insisted,настаивал
operator,оператор
rely,полагаться
singh,Сингх
fooled,обманутый
arrives,прибывает
i.d.,идентификатор.
leon,Леон
walt,Уолт
eastern,восточный
ay,да
shave,бриться
remaining,оставшийся
toss,бросать
anderson,Андерсон
lip,губа
acid,кислота
nora,Нора
si,си
december,Декабрь
anonymous,анонимный
inn,гостиница
planted,посаженный
oldest,самый старый
breast,грудь
sixth,шестой
error,ошибка
reporting,составление отчетов
egypt,Египет
islands,острова
brother-in-law,шурин
jules,Жюль
roommate,сосед по комнате
sings,поет
scum,отбросы
visitor,посетитель
giggling,хихиканье
described,описал
geez,блин
inches,дюймы
commitment,обязательство
hercules,Геркулес
react,реагировать
cows,коровы
protest,акция протеста
misery,невзгоды
theft,кража
embrace,объятие
darn,штопать
harsh,жесткий
andrea,Андреа
communicate,общаться
fathers,отцы
faithful,верный
hector,Гектор
uh-uh,э-э-э
flame,пламя
medal,медаль
silk,шелк
photographer,фотограф
trevor,Тревор
cemetery,кладбище
rear,задний
freddy,Фредди
banana,банан
allison,Эллисон
emotion,эмоция
chap,глава
dated,датированный
excuses,оправдания
shitty,дерьмовый
bin,мусорное ведро
jew,еврей
gum,жвачка
crushed,раздавленный
efforts,усилия
content,содержание
corporal,капрал
realised,осуществленный
del,дель
rap,рэп
hopeless,безнадежный
debate,дебаты
era,эпоха
luckily,к счастью
ton,тонна
liquid,жидкость
swell,зыбь
peggy,Пегги
feast,праздник
murphy,Мерфи
attracted,привлеченный
application,приложение
profession,профессия
bench,лавка
vanessa,Ванесса
ahem,хм
symptoms,симптомы
scout,разведчик
crashed,разбился
keen,увлеченный
aircraft,самолет
formed,сформированный
hon,дорогая
aggressive,агрессивный
pale,бледный
significant,значительный
duncan,Дункан
clubs,клубы
visual,визуальный
embassy,посольство
defence,защита
cabinet,кабинет
display,отображать
fame,слава
gibbs,Гиббс
drowned,утонул
wolves,волки
filming,съемки фильма
dunno,Не знаю
cursed,проклятый
twin,близнец
sorrow,печаль
vault,сейф
defeated,побежденный
watson,Ватсон
quote,цитировать
penalty,штраф
bargain,торговаться
pepper,перец
speaker,оратор
compare,сравнивать
satan,сатана
helmet,шлем
scar,шрам
copies,копии
fuss,суматоха
envelope,конверт
perry,Перри
stinks,воняет
african,африканский
arrangements,распоряжения
wished,желал
honored,заслуженный
believing,веря
discussed,обсуждалось
assigned,назначенный
rosa,роза
oven,печь
jenna,Дженна
attacking,атакующий
tin,банка
sonic,звуковой
collar,воротник
mere,всего лишь
romeo,Ромео
belief,вера
storage,хранилище
rusty,ржавый
psycho,псих
climbing,альпинизм
melissa,Мелисса
fears,боится
sum,сумма
dedicated,преданный
ladder,лестница
alternative,альтернатива
raid,рейд
dining,столовая
ms,РС
corporate,корпоративный
folk,народный
jon,Джон
replaced,заменены
bailey,Бейли
un,ООН
heels,каблуки
duties,обязанности
smarter,умнее
existed,существовал
surprising,удивительно
chess,шахматы
requested,просил
cruise,круиз
primary,начальный
rhythm,ритм
drum,барабан
models,модели
motorcycle,мотоцикл
adopted,усыновленный
barrel,бочка
cargo,груз
planets,планеты
shove,засунуть
wha,что
surprises,сюрпризы
rosie,Рози
dings,звонки
trailer,трейлер
cannon,пушка
tables,столы
arse,жопа
ally,союзник
lawrence,Лоуренс
wee,крошечный
tapes,ленты
dull,тупой
sandra,Сандра
teenage,подростковый
kent,Кент
cooperate,сотрудничать
risks,риски
dug,вырыл
worthless,бесполезный
arriving,прибытие
kindness,доброта
ties,связи
items,предметы
and-,и-
grip,схватить
relations,связи
rumor,слух
skirt,юбка
frog,лягушка
paige,Пейдж
lloyd,Ллойд
claimed,заявлено
perfume,духи
instrumental,инструментальный
flames,пламя
association,ассоциация
loses,проигрывает
january,январь
spike,шип
israel,Израиль
eleven,одиннадцать
gallery,галерея
ginger,имбирь
activities,деятельность
iraq,Ирак
boarding,посадка
fist,кулак
stuffed,фаршированный
improve,улучшать
creation,создание
connie,Конни
infection,инфекционное заболевание
strikes,забастовки
wiped,вытер
tension,напряжение
whistles,свистит
kindly,любезно
certificate,сертификат
curtis,Кертис
bold,смелый
threats,угрозы
claudia,Клаудия
sid,Сид
twisted,искривленный
suspended,приостановленный
affected,затронутый
envy,завидовать
whale,кит
dial,набирать номер
cameron,Кэмерон
martial,боевой
controlled,контролируемый
lung,легкое
nigga,ниггер
coal,уголь
upside,перевернутый
imperial,имперский
pam,Пэм
paranoid,параноик
signing,подписание
congress,конгресс
villa,вилла
candles,свечи
filling,наполнение
becky,Бекки
comic,комикс
faint,слабый
recovery,восстановление
volunteer,волонтер
tech,технология
bleed,истекать кровью
positions,позиции
cindy,Синди
narrow,узкий
forbid,запретить
stuart,Стюарт
perspective,перспектива
faced,столкнулся
neat,аккуратный
pierce,пронзить
observe,наблюдать
cycle,цикл
psychic,экстрасенс
handling,умение обращаться
goose,Гусь
accidentally,случайно
conclusion,заключение
designer,дизайнер
sits,сидит
importance,важность
spots,пятна
francs,франки
sweep,мести
destroying,уничтожая
communist,коммунист
blackmail,шантажировать
pacific,Тихоокеанский
risky,рискованный
glorious,славный
filed,поданный
hatred,ненависть
cam,камера
deals,сделки
pos,позиция
fooling,обманывать
persons,люди
scotch,скотч
executed,казнен
brakes,тормоза
blank,пустой
tender,нежный
kurt,Курт
turner,токарь
tub,ванна
sucker,лох
slight,легкий
addition,добавление
campus,кампус
ritual,ритуал
prey,добыча
so-called,так называемые
graduate,выпускник
anyways,в любом случае
ew,фу
fry,жарить
genuine,подлинный
ned,Нед
judging,судить
doubts,сомнения
warden,надзиратель
ceiling,потолок
practicing,практикующий
somewhat,в некотором роде
established,учредил
attempted,попытка
zombie,живой мертвец
generations,поколения
yöu,ты
gathering,встреча
warriors,воины
mick,Мик
electrical,электрический
collins,Коллинз
sobs,рыдает
couples,пары
depend,зависеть
institute,институт
miranda,Миранда
principle,принцип
fixing,фиксация
therapist,Терапевт
compete,конкурировать
compliment,комплимент
worship,поклонение
residence,резиденция
democracy,демократия
joel,Джоэл
published,опубликовано
myth,миф
helpless,беспомощный
screwing,ввинчивание
kennedy,Кеннеди
execution,исполнение
appetite,аппетит
formal,формальный
strictly,строго
sucked,отстой
tanks,танки
chickens,куры
gwen,Гвен
technical,технический
stella,Стелла
rod,стержень
meets,встречается
shepherd,пасти
brazil,Бразилия
brutal,жестокий
alison,Элисон
vain,тщеславный
switched,переключился
chi,чи
deer,олень
brooklyn,Бруклин
dresses,платья
retire,уходить в отставку
overcome,преодолеть
inspiration,вдохновение
cunt,пизда
benjamin,Бенджамин
nicky,Ники
thrilled,взволнованный
tae,таэ
suggestion,предположение
dummy,дурачок
sailor,моряк
destination,место назначения
bass,бас
picnic,пикник
assholes,придурки
idol,идол
trucks,грузовики
rank,классифицировать
denise,Дениз
yu,ю
veronica,Вероника
blocked,заблокирован
strict,строгий
hiya,привет
formula,формула
clerk,клерк
samurai,самурай
disturbed,нарушенный
vera,Вера
cafe,кафе
wandering,блуждающий
consciousness,сознание
val,вал
nikki,Никки
min,мин
bare,голый
hans,Ганс
caleb,Калеб
butcher,мясник
arrangement,договоренность
chased,преследовали
ministry,министерство
brandy,бренди
sweater,свитер
boobs,буфера
locate,найти
apologise,извиняться
nazi,нацист
parole,условно-досрочное освобождение
examine,исследовать
trains,поезда
candle,свеча
prior,прежний
stream,транслировать
that-,что-
passage,проход
reaching,достижение
organ,орган
directions,направления
asses,задницы
outer,внешний
proves,доказывает
morris,Моррис
luxury,роскошь
pistol,пистолет
v,в
losers,неудачники
funds,средства
sunset,закат
strings,струны
fortunately,к счастью
gotcha,Попался
tomb,могила
freddie,Фредди
but-,но-
engineering,инженерия
element,элемент
balloon,воздушный шар
ty,ты
broadcast,транслировать
spray,спрей
ninja,ниндзя
eternity,вечность
handy,удобный
to-,к-
crawl,ползти
slice,кусочек
nations,нации
behaviour,поведение
pace,шаг
stiff,жесткий
lick,лизать
concrete,конкретный
allah,Аллах
vegetables,овощи
euros,евро
sausage,колбаса
constable,констебль
spinning,прядение
rolls,рулоны
genetic,генетический
loudly,громко
old-fashioned,старомодный
marvelous,чудесный
subway,метро
creep,слизняк
scheme,схема
performed,выполненный
ex-wife,бывшая жена
plug,затыкать
rejected,отклоненный
brenda,Бренда
respected,уважаемый
backs,спины
protocol,протокол
muscles,мышцы
kidney,почка
finishing,отделка
products,продукты
im,я
wu,у
invasion,вторжение
affection,привязанность
woody,древесный
endless,бесконечный
discipline,дисциплина
horns,рога
absence,отсутствие
waking,пробуждение
dudes,чуваки
philosophy,философия
cracked,треснутый
nicholas,Николай
reed,тростник
verdict,приговор
drake,селезень
connections,связи
privilege,привилегия
anyhow,в любом случае
scent,запах
naive,наивный
daylight,дневной свет
controls,элементы управления
airplane,самолет
values,ценности
jolly,веселый
swore,клялся
blaring,ревущий
consent,согласие
puzzle,головоломка
disagree,не согласен
argh,ааа
winds,ветры
vanished,исчез
wizard,волшебник
ranger,рейнджер
celebrity,знаменитость
sniffles,всхлипывает
stores,магазины
aha,Ага
intentions,намерения
plague,чума
farmers,фермеры
breeze,ветер
rascal,негодяй
convenient,удобный
bonus,бонус
dong,дон
hush,тише
instinct,инстинкт
entitled,уполномоченный
porter,портье
maurice,Морис
wrist,запястье
originally,изначально
coins,монеты
drain,осушать
physics,физика
phoebe,Фиби
furious,яростный
sniffs,нюхает
vampires,вампиры
defending,защита
sector,сектор
income,доход
finn,финн
offended,обиженный
decides,решает
laser,лазер
fled,сбежал
beers,пиво
boxing,заниматься боксом
accurate,точный
kung,кунг
snakes,змеи
thumb,большой палец
bald,лысый
sharon,Шэрон
suspicion,подозрение
convicted,осужден
roots,корнеплоды
shares,акции
bernard,Бернар
jessie,Джесси
wang,Ван
harrison,Харрисон
blues,блюз
confusing,сбивающий с толку
lobby,лобби
recipe,рецепт
las,лас
winston,Уинстон
generally,в целом
seeking,Ищу
secretly,тайно
declare,объявить
freaked,испуганный
missile,ракета
ensure,гарантировать
tricky,сложный
pointed,заостренный
hockey,хоккей
bubble,пузырь
contacts,контакты
maximum,максимум
reminded,напомнил
carriage,перевозка
curtain,занавес
clues,подсказки
hostages,заложники
circles,круги
author,автор
wallace,Уоллес
receiving,получение
debts,долги
cellar,подвал
tortured,пытали
tips,советы
mates,товарищи
mortal,смертный
reporters,репортеры
associate,партнер
honesty,честность
laptop,ноутбук
jung,Юнг
katherine,Кэтрин
rainbow,радуга
seed,семя
mature,зрелый
deed,поступок
kay,окей
expenses,затраты
discussing,обсуждение
pirate,пират
meals,еда
performing,выполнение
remained,остались
prostitute,Проститутка
adams,Адамс
retirement,выход на пенсию
platform,Платформа
claus,Клаус
erica,Эрика
beds,кровати
writes,пишет
illusion,иллюзия
mill,мельница
dealt,раздали
hears,слышит
tryin,пытаюсь
manhattan,Манхэттен
mole,крот
rang,зазвонил
prosecution,судебное преследование
fatal,смертельный
copper,медь
troubled,обеспокоенный
heir,наследник
traces,следы
owners,владельцы
length,длина
dentist,Дантист
zach,Зак
lesbian,лесбиянка
enterprise,предприятие
tournament,турнир
travelling,путешествие
confessed,признался
roast,жарить
website,Веб-сайт
ja,да
mikey,Майки
flood,наводнение
harbor,гавань
lola,лола
rory,Рори
richie,Ричи
mansion,особняк
mademoiselle,мадемуазель
auction,аукцион
desires,желания
bachelor,холостяк
haunted,преследуемый
distracted,несосредоточенный
smashed,разбитый
rodney,Родни
scheduled,Запланированное
negotiate,вести переговоры
champ,чемпион
allows,позволяет
shotgun,дробовик
nigger,негр
cocktail,коктейль
donkey,осел
pointing,указывая
butler,дворецкий
dizzy,испытывающий головокружение
methods,методы
reference,ссылка
georgia,Грузия
bully,терроризировать
lydia,Лидия
collapse,крах
alfred,Альфред
ana,ана
minimum,минимум
chairs,стулья
hee,хи
patty,Пэтти
owes,должен
included,включено
carmen,Кармен
civilization,цивилизация
prices,Цены
wealthy,богатый
bart,Барт
depression,депрессия
tide,прилив
rented,арендованный
bra,бюстгальтер
lin,Лин
fellows,ребята
rot,гнить
password,пароль
th,й
kirk,Кирк
pedro,Педро
spill,проливать
cured,вылеченный
naomi,Наоми
hardest,самый трудный
deceased,покойный
sleepy,сонный
static,статический
hawaii,Гавайи
almighty,всемогущий
murray,Мюррей
offers,предложения
bruno,Бруно
phrase,фраза
disgrace,позор
sources,источники
approval,одобрение
turtles,черепахи
screech,визг
snack,закуска
collected,собранный
ding,звон
fur,шерсть
jewels,драгоценности
jan,январь
cheek,щека
legally,юридически
ditch,канава
benefits,преимущества
roars,ревет
arnold,Арнольд
dime,десять центов
domestic,одомашненный
chuckle,смеяться
hack,взломать
ransom,выкуп
chang,Чанг
bore,бурить
muslim,мусульманин
loads,нагрузки
waitress,официантка
nurses,медсестры
glenn,Гленн
spite,злоба
rebel,мятежник
clearing,очистка
andre,Андре
fortunate,удачливый
survivors,выжившие
reply,отвечать
disappoint,разочаровывать
orbit,орбита
expose,разоблачать
gin,Джин
austin,Остин
toe,палец на ноге
sympathy,симпатия
intel,информация
growth,рост
psychiatrist,психиатр
m.,м.
slams,хлопает
encounter,сталкиваться
daphne,Дафна
passenger,пассажир
monkeys,обезьяны
accompany,сопровождать
hats,головные уборы
column,столбец
sigh,вздох
pounding,стучать
economic,экономический
tales,сказки
theirs,их
brat,паршивец
follows,следует
spreading,распространение
sister-in-law,золовка
burt,бурть
hilarious,веселый
hallway,коридор
hamilton,Гамильтон
the-,-
exclusive,эксклюзивный
chimes,куранты
greet,приветствовать
decades,десятилетия
bowling,боулинг
buttons,кнопки
confusion,путаница
thud,стук
hooker,проститутка
ruining,разрушающий
dreadful,ужасный
collecting,сбор
lions,львы
sheila,Шейла
douglas,Дуглас
february,февраль
elvis,Элвис
forty,сорок
sleeps,спит
sung,поется
brass,латунь
shrink,сокращать
zack,Зак
whimpers,хнычет
sworn,присягнул
email,электронная почта
proven,проверенный
tasty,вкусный
covers,крышки
sandwiches,бутерброды
rarely,редко
wyatt,Уайетт
programme,программа
irene,Ирен
dee,Ди
contacted,связался
chemistry,химия
assured,уверенный
applied,применяемый
elected,избранный
subjects,предметы
lust,похоть
label,этикетка
shakespeare,Шекспир
tan,загар
ego,эго
forgiven,прощен
phoenix,Феникс
companion,компаньон
lottery,лотерея
worm,червь
publicity,реклама
butterfly,бабочка
dialogue,диалог
cal,кал
2nd,2-й
tremendous,огромный
pervert,извращенец
establish,учреждать
dearest,самый дорогой
intimate,интимный
eager,жаждущий
se,видишь
cathy,Кэти
atlantic,Атлантический
contains,содержит
thompson,Томпсон
shirley,Ширли
bets,Пари
inhales,вдыхает
presentation,презентация
allergic,аллергический
den,логово
wells,колодцы
spoiled,испорченный
chen,Чэнь
accomplished,удавшийся
repay,погашать
politicians,политики
logic,логика
gratitude,благодарность
afghanistan,Афганистан
